Feature,Importance
offshore <= 0.00,-0.06509390283445653
gas <= 0.00,-0.028327282489752935
bottom <= 0.00,-0.027866351286814084
link <= 0.00,-0.026499009116316745
comprised <= 0.00,-0.023561295194429708
publish <= 0.00,-0.023424453342025517
amazon <= 0.00,-0.01938310285110414
conversational <= 0.00,-0.013492084195103442
aggressive <= 0.00,-0.01071110048914265
homeowner <= 0.00,0.008518445136029179
